Station Name,Longitude,Latitude,Station ID,Tm,Tx,Tn,P,P%N,Pd,BS,BS%,Date
ATTAWAPISKAT A,-82.432,52.928,6010400,-22.1,-3.1,-35.8,2.2,,1.0,,,2015-01-01
ATTAWAPISKAT A,-82.432,52.928,6010400,-26.6,-7.3,-38.9,1.9,,1.0,,,2015-02-01
ATTAWAPISKAT A,-82.432,52.928,6010400,-15.1,4.1,-32.9,4.8,,2.0,,,2015-03-01
ATTAWAPISKAT A,-82.432,52.928,6010400,-3.5,12.8,-28.7,30.1,,6.0,,,2015-04-01
ATTAWAPISKAT A,-82.432,52.928,6010400,4.8,20.8,-5.1,27.6,,6.0,,,2015-05-01
ATTAWAPISKAT A,-82.432,52.928,6010400,12.6,29.2,1.0,61.3,,7.0,,,2015-06-01
ATTAWAPISKAT A,-82.432,52.928,6010400,16.2,30.8,2.8,130.4,,10.0,,,2015-07-01
ATTAWAPISKAT A,-82.432,52.928,6010400,14.6,29.2,2.8,74.2,,13.0,,,2015-08-01
ATTAWAPISKAT A,-82.432,52.928,6010400,12.1,30.0,-2.7,110.4,,10.0,,,2015-09-01
ATTAWAPISKAT A,-82.432,52.928,6010400,2.2,15.1,-9.3,48.4,,9.0,,,2015-10-01
ATTAWAPISKAT A,-82.432,52.928,6010400,0.0,14.1,-17.8,21.6,,6.0,,,2015-11-01
ATTAWAPISKAT A,-82.432,52.928,6010400,-9.3,2.6,-28.2,10.4,,2.0,,,2015-12-01
ATTAWAPISKAT A,-82.432,52.928,6010400,-17.5,-1.5,-35.6,0.0,,0.0,,,2016-01-01
ATTAWAPISKAT A,-82.432,52.928,6010400,-21.1,-2.1,-37.4,0.3,,0.0,,,2016-02-01
ATTAWAPISKAT A,-82.432,52.928,6010400,-13.2,7.9,-36.0,7.1,,2.0,,,2016-03-01
ATTAWAPISKAT A,-82.432,52.928,6010400,-7.5,20.9,-24.6,6.8,,4.0,,,2016-04-01
ATTAWAPISKAT A,-82.432,52.928,6010400,5.2,27.1,-7.0,49.3,,8.0,,,2016-05-01
ATTAWAPISKAT A,-82.432,52.928,6010400,10.3,29.2,-1.3,63.5,,13.0,,,2016-06-01
ATTAWAPISKAT A,-82.432,52.928,6010400,14.5,29.5,1.6,47.8,,6.0,,,2016-07-01
ATTAWAPISKAT A,-82.432,52.928,6010400,15.7,30.8,3.0,56.1,,8.0,,,2016-08-01
ATTAWAPISKAT A,-82.432,52.928,6010400,11.1,27.0,-2.7,72.5,,7.0,,,2016-09-01
ATTAWAPISKAT A,-82.432,52.928,6010400,5.0,21.8,-5.7,49.4,,8.0,,,2016-10-01
ATTAWAPISKAT A,-82.432,52.928,6010400,0.0,16.3,-10.0,19.9,,3.0,,,2016-11-01
ATTAWAPISKAT A,-82.432,52.928,6010400,-16.7,0.9,-36.2,3.6,,1.0,,,2016-12-01
ATTAWAPISKAT A,-82.432,52.928,6010400,-13.0,3.4,-31.8,13.4,,2.0,,,2017-01-01
ATTAWAPISKAT A,-82.432,52.928,6010400,-17.8,3.2,-37.0,17.2,,1.0,,,2017-02-01
ATTAWAPISKAT A,-82.432,52.928,6010400,-13.3,8.8,-36.6,6.3,,2.0,,,2017-03-01
ATTAWAPISKAT A,-82.432,52.928,6010400,-5.2,7.4,-16.6,2.7,,1.0,,,2017-04-01
ATTAWAPISKAT A,-82.432,52.928,6010400,4.4,24.1,-14.0,11.2,,4.0,,,2017-05-01
ATTAWAPISKAT A,-82.432,52.928,6010400,10.6,31.2,-0.6,0.0,,0.0,,,2017-06-01
ATTAWAPISKAT A,-82.432,52.928,6010400,14.8,31.5,1.0,0.0,,0.0,,,2017-07-01
ATTAWAPISKAT A,-82.432,52.928,6010400,12.8,29.2,0.1,,,,,,2017-08-01
ATTAWAPISKAT A,-82.432,52.928,6010400,10.5,23.9,-0.4,0.0,,0.0,,,2017-09-01
ATTAWAPISKAT A,-82.432,52.928,6010400,6.2,21.1,-5.0,0.0,,0.0,,,2017-10-01
ATTAWAPISKAT A,-82.432,52.928,6010400,-9.8,1.3,-18.8,16.1,,3.0,,,2017-11-01
ATTAWAPISKAT A,-82.432,52.928,6010400,-18.2,4.2,-36.3,11.4,,2.0,,,2017-12-01
ATTAWAPISKAT A,-82.432,52.928,6010400,-22.4,-0.1,-35.5,0.0,,0.0,,,2018-01-01
ATTAWAPISKAT A,-82.432,52.928,6010400,-22.7,-5.3,-36.4,9.3,,1.0,,,2018-02-01
ATTAWAPISKAT A,-82.432,52.928,6010400,-13.9,0.8,-28.3,0.0,,0.0,,,2018-03-01
ATTAWAPISKAT A,-82.432,52.928,6010400,-10.2,12.7,-28.0,2.4,,1.0,,,2018-04-01
ATTAWAPISKAT A,-82.432,52.928,6010400,3.6,26.8,-9.8,0.5,,0.0,,,2018-05-01
ATTAWAPISKAT A,-82.432,52.928,6010400,10.3,28.6,-2.1,,,,,,2018-06-01
ATTAWAPISKAT A,-82.432,52.928,6010400,15.5,33.0,2.2,,,,,,2018-07-01
ATTAWAPISKAT A,-82.432,52.928,6010400,12.6,28.3,0.2,,,,,,2018-08-01
ATTAWAPISKAT A,-82.432,52.928,6010400,8.5,25.9,-3.3,25.6,,4.0,,,2018-09-01
ATTAWAPISKAT A,-82.432,52.928,6010400,-0.4,8.4,-9.2,46.4,,6.0,,,2018-10-01
ATTAWAPISKAT A,-82.432,52.928,6010400,-8.0,2.6,-26.8,2.4,,1.0,,,2018-11-01
ATTAWAPISKAT A,-82.432,52.928,6010400,-14.4,4.2,-36.3,0.0,,0.0,,,2018-12-01
ATTAWAPISKAT A,-82.432,52.928,6010400,-23.4,0.7,-40.0,0.2,,0.0,,,2019-01-01
ATTAWAPISKAT A,-82.432,52.928,6010400,-20.9,-6.3,-34.2,6.7,,1.0,,,2019-02-01
ATTAWAPISKAT A,-82.432,52.928,6010400,-13.3,7.1,-34.2,0.0,,0.0,,,2019-03-01
ATTAWAPISKAT A,-82.432,52.928,6010400,-4.5,11.1,-19.2,,,,,,2019-04-01
ATTAWAPISKAT A,-82.432,52.928,6010400,4.3,20.7,-9.0,0.0,,0.0,,,2019-05-01
ATTAWAPISKAT A,-82.432,52.928,6010400,9.9,32.7,-0.6,0.0,,0.0,,,2019-06-01
ATTAWAPISKAT A,-82.432,52.928,6010400,15.9,28.3,5.6,28.6,,1.0,,,2019-07-01
ATTAWAPISKAT A,-82.432,52.928,6010400,15.7,28.8,2.7,25.9,,7.0,,,2019-08-01
ATTAWAPISKAT A,-82.432,52.928,6010400,9.1,26.9,-2.5,54.2,,9.0,,,2019-09-01
ATTAWAPISKAT A,-82.432,52.928,6010400,5.4,21.1,-4.9,39.1,,8.0,,,2019-10-01
ATTAWAPISKAT A,-82.432,52.928,6010400,-7.2,1.2,-21.5,7.0,,4.0,,,2019-11-01
ATTAWAPISKAT A,-82.432,52.928,6010400,-16.1,-1.3,-32.0,0.0,,0.0,,,2019-12-01
ATTAWAPISKAT A,-82.432,52.928,6010400,-17.4,-1.2,-35.1,0.0,,0.0,,,2020-01-01
ATTAWAPISKAT A,-82.432,52.928,6010400,-17.2,-0.2,-37.5,0.0,,0.0,,,2020-02-01
ATTAWAPISKAT A,-82.432,52.928,6010400,-13.2,4.2,-31.9,2.4,,1.0,,,2020-03-01
ATTAWAPISKAT A,-82.432,52.928,6010400,-6.6,13.1,-27.7,2.9,,2.0,,,2020-04-01
ATTAWAPISKAT A,-82.432,52.928,6010400,3.4,29.2,-9.9,17.9,,3.0,,,2020-05-01
ATTAWAPISKAT A,-82.432,52.928,6010400,11.4,34.8,-2.3,43.9,,3.0,,,2020-06-01
ATTAWAPISKAT A,-82.432,52.928,6010400,18.2,31.8,4.1,,,,,,2020-07-01
ATTAWAPISKAT A,-82.432,52.928,6010400,13.9,31.5,0.3,,,,,,2020-08-01
ATTAWAPISKAT A,-82.432,52.928,6010400,9.6,22.7,-4.2,0.9,,0.0,,,2020-09-01
ATTAWAPISKAT A,-82.432,52.928,6010400,1.5,13.9,-13.2,64.3,,13.0,,,2020-10-01
ATTAWAPISKAT A,-82.432,52.928,6010400,-6.4,10.5,-21.7,41.6,,5.0,,,2020-11-01
ATTAWAPISKAT A,-82.432,52.928,6010400,-13.9,-0.1,-30.6,0.0,,0.0,,,2020-12-01
ATTAWAPISKAT A,-82.432,52.928,6010400,-8.5,2.8,-24.3,21.9,,1.0,,,2021-01-01
ATTAWAPISKAT A,-82.432,52.928,6010400,-19.7,4.2,-35.9,4.6,,2.0,,,2021-02-01
ATTAWAPISKAT A,-82.432,52.928,6010400,-11.7,10.5,-32.0,5.8,,1.0,,,2021-03-01
ATTAWAPISKAT A,-82.432,52.928,6010400,-0.7,14.2,-25.2,23.8,,3.0,,,2021-04-01
ATTAWAPISKAT A,-82.432,52.928,6010400,5.8,29.4,-9.3,62.0,,11.0,,,2021-05-01
ATTAWAPISKAT A,-82.432,52.928,6010400,10.4,28.9,-0.3,71.9,,9.0,,,2021-06-01
ATTAWAPISKAT A,-82.432,52.928,6010400,14.4,30.3,2.0,46.2,,9.0,,,2021-07-01
ATTAWAPISKAT A,-82.432,52.928,6010400,15.1,31.5,0.4,103.0,,11.0,,,2021-08-01
ATTAWAPISKAT A,-82.432,52.928,6010400,11.3,29.5,2.2,84.7,,12.0,,,2021-09-01
ATTAWAPISKAT A,-82.432,52.928,6010400,8.4,24.3,-1.6,60.2,,8.0,,,2021-10-01
ATTAWAPISKAT A,-82.432,52.928,6010400,-3.5,11.2,-20.9,23.3,,4.0,,,2021-11-01
ATTAWAPISKAT A,-82.432,52.928,6010400,-23.9,-5.4,-35.3,3.5,,1.0,,,2022-01-01
ATTAWAPISKAT A,-82.432,52.928,6010400,-23.0,-0.8,-37.0,0.0,,0.0,,,2022-02-01
ATTAWAPISKAT A,-82.432,52.928,6010400,-15.8,2.6,-31.3,0.2,,0.0,,,2022-03-01
ATTAWAPISKAT A,-82.432,52.928,6010400,-3.4,12.0,-17.6,23.5,,2.0,,,2022-04-01
ATTAWAPISKAT A,-82.432,52.928,6010400,6.2,24.0,-7.6,50.8,,7.0,,,2022-05-01
ATTAWAPISKAT A,-82.432,52.928,6010400,13.4,26.7,2.0,48.7,,8.0,,,2022-06-01
ATTAWAPISKAT A,-82.432,52.928,6010400,14.8,29.3,4.6,101.0,,10.0,,,2022-07-01
ATTAWAPISKAT A,-82.432,52.928,6010400,15.0,29.3,2.3,90.8,,9.0,,,2022-08-01
ATTAWAPISKAT A,-82.432,52.928,6010400,11.3,27.3,-0.6,41.9,,6.0,,,2022-09-01
ATTAWAPISKAT A,-82.432,52.928,6010400,5.9,20.8,-3.3,37.5,,7.0,,,2022-10-01
ATTAWAPISKAT A,-82.432,52.928,6010400,-4.6,18.1,-19.2,37.8,,7.0,,,2022-11-01
ATTAWAPISKAT A,-82.432,52.928,6010400,-18.9,1.1,-39.6,11.8,,3.0,,,2023-01-01
ATTAWAPISKAT A,-82.432,52.928,6010400,-22.2,2.9,-42.1,9.9,,2.0,,,2023-02-01
ATTAWAPISKAT A,-82.432,52.928,6010400,-14.4,2.6,-29.5,0.4,,0.0,,,2023-03-01
ATTAWAPISKAT A,-82.432,52.928,6010400,-4.7,11.7,-27.7,21.3,,7.0,,,2023-04-01
ATTAWAPISKAT A,-82.432,52.928,6010400,7.1,31.7,-3.2,37.1,,5.0,,,2023-05-01
ATTAWAPISKAT A,-82.432,52.928,6010400,13.2,33.5,-1.8,18.9,,4.0,,,2023-06-01
ATTAWAPISKAT A,-82.432,52.928,6010400,16.1,32.5,3.1,39.0,,7.0,,,2023-07-01
ATTAWAPISKAT A,-82.432,52.928,6010400,14.4,26.6,1.6,55.2,,7.0,,,2023-08-01
ATTAWAPISKAT A,-82.432,52.928,6010400,12.5,33.0,-1.5,41.7,,5.0,,,2023-09-01
ATTAWAPISKAT A,-82.432,52.928,6010400,4.6,27.2,-11.8,61.1,,8.0,,,2023-10-01
BIG TROUT LAKE,-89.897,53.818,6010735,0.7,7.2,-4.4,77.1,,11.0,,,2011-10-01
BIG TROUT LAKE,-89.897,53.818,6010735,-5.8,6.2,-19.4,419.3,,28.0,,,2011-11-01
BIG TROUT LAKE,-89.897,53.818,6010735,-15.1,-0.5,-31.6,360.8,,28.0,,,2011-12-01
BIG TROUT LAKE,-89.897,53.818,6010735,-19.4,-1.2,-35.1,130.2,,14.0,,,2012-01-01
BIG TROUT LAKE,-89.897,53.818,6010735,-15.1,-0.4,-34.8,0.6,,0.0,,,2012-02-01
BIG TROUT LAKE,-89.897,53.818,6010735,-7.0,16.0,-29.3,17.3,,3.0,,,2012-03-01
BIG TROUT LAKE,-89.897,53.818,6010735,-0.5,17.0,-16.5,6.4,,3.0,,,2012-04-01
BIG TROUT LAKE,-89.897,53.818,6010735,5.2,24.1,-8.5,119.6,,11.0,,,2012-05-01
BIG TROUT LAKE,-89.897,53.818,6010735,14.2,28.3,-1.7,52.7,,11.0,,,2012-06-01
BIG TROUT LAKE,-89.897,53.818,6010735,18.2,30.6,5.8,19.3,,6.0,,,2012-07-01
BIG TROUT LAKE,-89.897,53.818,6010735,15.0,27.6,2.7,180.9,,12.0,,,2012-08-01
BIG TROUT LAKE,-89.897,53.818,6010735,10.5,25.4,-3.6,34.3,,7.0,,,2012-09-01
BIG TROUT LAKE,-89.897,53.818,6010735,0.6,12.7,-7.8,39.3,,7.0,,,2012-10-01
BIG TROUT LAKE,-89.897,53.818,6010735,-9.8,2.9,-31.2,0.0,,0.0,,,2012-11-01
BIG TROUT LAKE,-89.897,53.818,6010735,-17.9,-3.9,-35.7,0.0,,0.0,,,2012-12-01
BIG TROUT LAKE,-89.897,53.818,6010735,-23.1,-5.1,-39.2,0.0,,0.0,,,2013-01-01
BIG TROUT LAKE,-89.897,53.818,6010735,-20.1,-1.0,-40.8,0.0,,0.0,,,2013-02-01
BIG TROUT LAKE,-89.897,53.818,6010735,-13.0,6.9,-32.8,0.0,,0.0,,,2013-03-01
BIG TROUT LAKE,-89.897,53.818,6010735,-6.0,17.4,-22.4,0.0,,0.0,,,2013-04-01
BIG TROUT LAKE,-89.897,53.818,6010735,4.9,25.1,-13.1,0.0,,0.0,,,2013-05-01
BIG TROUT LAKE,-89.897,53.818,6010735,13.5,28.6,-1.3,0.0,,0.0,,,2013-06-01
BIG TROUT LAKE,-89.897,53.818,6010735,17.1,31.5,4.0,27.8,,6.0,,,2013-07-01
BIG TROUT LAKE,-89.897,53.818,6010735,15.4,26.4,3.4,0.0,,0.0,,,2013-08-01
BIG TROUT LAKE,-89.897,53.818,6010735,10.9,25.1,-2.4,0.0,,0.0,,,2013-09-01
BIG TROUT LAKE,-89.897,53.818,6010735,2.2,18.1,-9.7,1.5,,0.0,,,2013-10-01
BIG TROUT LAKE A,-89.897,53.818,6010735,-9.6,3.0,-28.2,8.7,,3.0,,,2013-11-01
BIG TROUT LAKE A,-89.897,53.818,6010735,-25.6,-9.4,-38.2,0.7,,0.0,,,2013-12-01
BIG TROUT LAKE A,-89.897,53.818,6010735,-24.4,-7.1,-38.9,8.7,,4.0,,,2014-01-01
BIG TROUT LAKE A,-89.897,53.818,6010735,-22.2,-5.7,-39.3,3.1,,0.0,,,2014-02-01
BIG TROUT LAKE A,-89.897,53.818,6010735,-17.3,0.6,-37.0,1.6,,0.0,,,2014-03-01
BIG TROUT LAKE A,-89.897,53.818,6010735,-6.2,9.1,-23.6,12.6,,4.0,,,2014-04-01
BIG TROUT LAKE A,-89.897,53.818,6010735,5.4,26.1,-7.9,69.1,,9.0,,,2014-05-01
BIG TROUT LAKE A,-89.897,53.818,6010735,13.6,28.1,0.0,56.2,,7.0,,,2014-06-01
BIG TROUT LAKE A,-89.897,53.818,6010735,15.7,26.6,3.6,97.5,,11.0,,,2014-07-01
BIG TROUT LAKE A,-89.897,53.818,6010735,15.3,29.2,4.5,104.3,,9.0,,,2014-08-01
BIG TROUT LAKE A,-89.897,53.818,6010735,8.5,24.2,-5.4,59.8,,8.0,,,2014-09-01
BIG TROUT LAKE A,-89.897,53.818,6010735,3.3,16.5,-8.0,42.3,,8.0,,,2014-10-01
BIG TROUT LAKE A,-89.897,53.818,6010735,-13.5,5.2,-32.0,20.4,,5.0,,,2014-11-01
BIG TROUT LAKE A,-89.897,53.818,6010735,-16.1,0.0,-32.9,8.6,,2.0,,,2014-12-01
BIG TROUT LAKE A,-89.897,53.818,6010735,-22.8,-1.7,-38.7,2.8,,0.0,,,2015-01-01
BIG TROUT LAKE A,-89.897,53.818,6010735,-25.7,-9.1,-37.2,3.7,,1.0,,,2015-02-01
BIG TROUT LAKE A,-89.897,53.818,6010735,-13.0,11.6,-29.6,18.3,,6.0,,,2015-03-01
BIG TROUT LAKE A,-89.897,53.818,6010735,-1.5,15.3,-26.5,19.9,,4.0,,,2015-04-01
BIG TROUT LAKE A,-89.897,53.818,6010735,4.9,22.2,-7.7,21.2,,5.0,,,2015-05-01
BIG TROUT LAKE A,-89.897,53.818,6010735,13.0,27.3,-0.1,65.3,,9.0,,,2015-06-01
BIG TROUT LAKE A,-89.897,53.818,6010735,17.2,30.9,6.4,93.1,,10.0,,,2015-07-01
BIG TROUT LAKE A,-89.897,53.818,6010735,14.4,27.6,1.7,72.8,,13.0,,,2015-08-01
BIG TROUT LAKE A,-89.897,53.818,6010735,11.6,27.5,-5.1,49.3,,10.0,,,2015-09-01
BIG TROUT LAKE A,-89.897,53.818,6010735,2.6,19.8,-10.9,26.6,,9.0,,,2015-10-01
BIG TROUT LAKE A,-89.897,53.818,6010735,-5.6,7.6,-25.7,62.8,,9.0,,,2015-11-01
BIG TROUT LAKE A,-89.897,53.818,6010735,-10.7,4.1,-31.9,9.2,,3.0,,,2015-12-01
BIG TROUT LAKE A,-89.897,53.818,6010735,-19.5,-6.2,-33.2,6.2,,2.0,,,2016-01-01
BIG TROUT LAKE A,-89.897,53.818,6010735,-20.6,-0.4,-38.9,0.3,,0.0,,,2016-02-01
BIG TROUT LAKE A,-89.897,53.818,6010735,-11.2,10.5,-36.4,9.0,,2.0,,,2016-03-01
BIG TROUT LAKE A,-89.897,53.818,6010735,-5.6,18.1,-24.2,5.8,,3.0,,,2016-04-01
BIG TROUT LAKE A,-89.897,53.818,6010735,6.8,26.4,-8.5,35.5,,5.0,,,2016-05-01
BIG TROUT LAKE A,-89.897,53.818,6010735,12.0,28.2,-1.9,86.9,,8.0,,,2016-06-01
BIG TROUT LAKE A,-89.897,53.818,6010735,16.8,29.1,5.3,87.8,,9.0,,,2016-07-01
BIG TROUT LAKE A,-89.897,53.818,6010735,15.3,27.4,2.4,42.8,,8.0,,,2016-08-01
BIG TROUT LAKE A,-89.897,53.818,6010735,11.9,25.0,4.3,44.9,,8.0,,,2016-09-01
BIG TROUT LAKE A,-89.897,53.818,6010735,3.3,17.6,-5.7,47.7,,8.0,,,2016-10-01
BIG TROUT LAKE A,-89.897,53.818,6010735,-1.3,15.9,-18.2,34.1,,4.0,,,2016-11-01
BIG TROUT LAKE A,-89.897,53.818,6010735,-18.6,-2.8,-32.8,9.6,,2.0,,,2016-12-01
BIG TROUT LAKE A,-89.897,53.818,6010735,-14.6,1.0,-31.8,1.4,,1.0,,,2017-01-01
BIG TROUT LAKE A,-89.897,53.818,6010735,-16.0,1.8,-32.1,14.7,,3.0,,,2017-02-01
BIG TROUT LAKE A,-89.897,53.818,6010735,-9.5,4.6,-33.8,18.8,,3.0,,,2017-03-01
BIG TROUT LAKE A,-89.897,53.818,6010735,-3.0,13.7,-19.2,15.4,,4.0,,,2017-04-01
BIG TROUT LAKE A,-89.897,53.818,6010735,4.1,21.1,-9.8,0.8,,0.0,,,2017-05-01
BIG TROUT LAKE A,-89.897,53.818,6010735,12.3,28.1,1.9,47.4,,8.0,,,2017-06-01
BIG TROUT LAKE A,-89.897,53.818,6010735,16.5,30.1,0.5,0.0,,0.0,,,2017-07-01
BIG TROUT LAKE A,-89.897,53.818,6010735,15.1,26.6,2.2,0.0,,0.0,,,2017-08-01
BIG TROUT LAKE A,-89.897,53.818,6010735,10.5,25.0,-0.8,0.0,,0.0,,,2017-09-01
BIG TROUT LAKE A,-89.897,53.818,6010735,4.5,16.8,-5.2,0.0,,0.0,,,2017-10-01
BIG TROUT LAKE A,-89.897,53.818,6010735,-11.2,-1.0,-22.4,0.0,,0.0,,,2017-11-01
BIG TROUT LAKE A,-89.897,53.818,6010735,-19.1,-1.0,-36.5,0.0,,0.0,,,2017-12-01
BIG TROUT LAKE A,-89.897,53.818,6010735,-22.0,-7.7,-34.7,0.0,,0.0,,,2018-01-01
BIG TROUT LAKE A,-89.897,53.818,6010735,-22.0,-3.2,-42.8,0.4,,0.0,,,2018-02-01
BIG TROUT LAKE A,-89.897,53.818,6010735,-11.9,3.4,-26.6,,,,,,2018-03-01
BIG TROUT LAKE A,-89.897,53.818,6010735,-6.0,15.6,-30.3,,,,,,2018-04-01
BIG TROUT LAKE A,-89.897,53.818,6010735,5.7,31.2,-11.0,,,,,,2018-05-01
BIG TROUT LAKE A,-89.897,53.818,6010735,15.4,30.7,-1.4,,,,,,2018-06-01
BIG TROUT LAKE A,-89.897,53.818,6010735,16.9,29.2,6.4,26.6,,3.0,,,2018-07-01
BIG TROUT LAKE A,-89.897,53.818,6010735,14.7,28.2,1.5,40.1,,9.0,,,2018-08-01
BIG TROUT LAKE A,-89.897,53.818,6010735,6.8,20.8,-3.0,103.5,,9.0,,,2018-09-01
BIG TROUT LAKE A,-89.897,53.818,6010735,-0.7,7.1,-10.3,8.1,,3.0,,,2018-10-01
BIG TROUT LAKE A,-89.897,53.818,6010735,-11.7,-0.3,-29.2,6.9,,1.0,,,2018-11-01
BIG TROUT LAKE A,-89.897,53.818,6010735,-15.6,3.7,-37.5,0.6,,0.0,,,2018-12-01
BIG TROUT LAKE A,-89.897,53.818,6010735,-24.5,-1.5,-44.9,5.5,,3.0,,,2019-01-01
BIG TROUT LAKE A,-89.897,53.818,6010735,-21.6,-7.4,-37.1,4.9,,1.0,,,2019-02-01
BIG TROUT LAKE A,-89.897,53.818,6010735,-11.9,4.8,-30.5,7.7,,2.0,,,2019-03-01
BIG TROUT LAKE A,-89.897,53.818,6010735,-2.8,16.9,-20.1,13.9,,3.0,,,2019-04-01
BIG TROUT LAKE A,-89.897,53.818,6010735,4.1,18.8,-7.1,21.8,,6.0,,,2019-05-01
BIG TROUT LAKE A,-89.897,53.818,6010735,12.4,27.6,-0.9,86.3,,8.0,,,2019-06-01
BIG TROUT LAKE A,-89.897,53.818,6010735,16.6,28.7,6.7,122.7,,11.0,,,2019-07-01
BIG TROUT LAKE A,-89.897,53.818,6010735,15.2,26.6,2.7,122.4,,14.0,,,2019-08-01
BIG TROUT LAKE A,-89.897,53.818,6010735,9.4,24.6,-2.3,47.9,,7.0,,,2019-09-01
BIG TROUT LAKE A,-89.897,53.818,6010735,2.6,16.2,-6.8,117.1,,11.0,,,2019-10-01
BIG TROUT LAKE A,-89.897,53.818,6010735,-9.9,-0.1,-22.6,20.0,,4.0,,,2019-11-01
BIG TROUT LAKE A,-89.897,53.818,6010735,-17.9,-4.8,-35.2,8.0,,3.0,,,2019-12-01
BIG TROUT LAKE A,-89.897,53.818,6010735,-18.3,-4.7,-33.2,13.7,,5.0,,,2020-01-01
BIG TROUT LAKE A,-89.897,53.818,6010735,-19.0,1.6,-40.4,4.2,,2.0,,,2020-02-01
BIG TROUT LAKE A,-89.897,53.818,6010735,-12.5,7.9,-30.5,13.4,,4.0,,,2020-03-01
BIG TROUT LAKE A,-89.897,53.818,6010735,-5.1,14.4,-22.6,7.7,,2.0,,,2020-04-01
BIG TROUT LAKE A,-89.897,53.818,6010735,4.2,23.4,-10.2,24.7,,4.0,,,2020-05-01
BIG TROUT LAKE A,-89.897,53.818,6010735,13.2,32.5,-0.5,180.1,,10.0,,,2020-06-01
BIG TROUT LAKE A,-89.897,53.818,6010735,19.0,30.4,7.1,89.3,,8.0,,,2020-07-01
BIG TROUT LAKE A,-89.897,53.818,6010735,15.7,30.6,5.2,106.1,,8.0,,,2020-08-01
BIG TROUT LAKE A,-89.897,53.818,6010735,8.7,21.1,-3.1,73.6,,13.0,,,2020-09-01
BIG TROUT LAKE A,-89.897,53.818,6010735,-0.8,11.9,-13.5,40.5,,8.0,,,2020-10-01
BIG TROUT LAKE A,-89.897,53.818,6010735,-9.0,1.3,-20.1,9.0,,1.0,,,2020-11-01
BIG TROUT LAKE A,-89.897,53.818,6010735,-15.6,0.3,-29.5,0.9,,0.0,,,2020-12-01
BIG TROUT LAKE A,-89.897,53.818,6010735,-14.4,1.1,-31.0,2.2,,0.0,,,2021-01-01
BIG TROUT LAKE A,-89.897,53.818,6010735,-21.7,1.5,-42.7,17.7,,4.0,,,2021-02-01
BIG TROUT LAKE A,-89.897,53.818,6010735,-10.9,9.6,-31.4,26.5,,3.0,,,2021-03-01
BIG TROUT LAKE A,-89.897,53.818,6010735,-1.3,13.5,-17.3,24.7,,6.0,,,2021-04-01
BIG TROUT LAKE A,-89.897,53.818,6010735,5.1,26.6,-9.2,48.4,,9.0,,,2021-05-01
BIG TROUT LAKE A,-89.897,53.818,6010735,13.0,28.1,0.6,68.8,,11.0,,,2021-06-01
BIG TROUT LAKE A,-89.897,53.818,6010735,16.7,33.6,3.9,84.9,,8.0,,,2021-07-01
